"cinema_id","cinema","film","screening_start_warsaw","monitor_from_warsaw","booking_url","link_type","seating_visible_user","approved_to_monitor","review_note","cinema_website","selected_at_warsaw","source_generated_at"
"wisla","Novekino Wisła","Tony - napisy","2026-09-09 13:40:00","2026-09-09 13:25:00","https://wisla.novekino.pl/MSI/OrderTickets.aspx?event_id=114446&typetran=0&returnlink=%7e%2fmvc%2fpl%3fsort%3dDate%26date%3d2026-09-09","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked.","https://wisla.novekino.pl/MSI/mvc/pl","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"atlantic","Novekino Atlantic","Ojczyzna - napisy","2026-09-09 13:30:00","2026-09-09 13:15:00","https://atlantic.novekino.pl/MSI/OrderTickets.aspx?event_id=47489&typetran=0&returnlink=%7e%2fmvc%2fpl%3fsort%3dDate%26date%3d2026-09-09","booking link from saved data","pending","no","Earlier sample with OrderTickets.aspx redirected to repertoire. Check this link; do not assume sales closed.","https://atlantic.novekino.pl/MSI/mvc/pl","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"muranow","Kinomuranów","Do utraty tchu","2026-09-09 16:30:00","2026-09-09 16:15:00","https://kinomuranow.pl/tickets/28513/buy","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked.","https://kinomuranow.pl/repertuar","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"luna","Kino Luna","Asterix i Obelix: Misja Kleopatra (wersja z polskim dubbingiem)","2026-09-09 14:00:00","2026-09-09 13:45:00","https://kinoluna.bilety24.pl/kup-bilety/?id=977132","booking link from saved data","pending","no","Earlier sampled screening used unnumbered seating with no visible remaining count; confirm this screening.","https://kinoluna.bilety24.pl/","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"elektronik","Kino Elektronik","Młodsza siostra (Mała Sala)","2026-09-09 18:00:00","2026-09-09 17:45:00","https://kinoelektronik.pl/kup-bilety/?id=981960","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked.","https://kinoelektronik.pl/","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"kinoteka","Kinoteka","Kokuho","2026-09-09 12:45:00","2026-09-09 12:30:00","https://bilety.kinoteka.pl/#/screen?screeningId=e1005e3a-9aca-4e0a-85cd-80d428184308&cinemaId=9ef78349-db9c-4dfc-85aa-96d030082c0d","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked.","https://kinoteka.pl/repertuar/","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"1074","Cinema City Arkadia","Spider-Man: Całkiem nowy dzień","2026-09-09 12:20:00","2026-09-09 12:05:00","https://tickets.cinema-city.pl/api/order/1664437?lang=pl","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked. The 15-minute baseline has already passed; choose a later screening after approval.","https://www.cinema-city.pl/","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"1061","Cinema City Bemowo","Księga pustyni","2026-09-09 12:10:00","2026-09-09 11:55:00","https://tickets.cinema-city.pl/api/order/1669512?lang=pl","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked. The 15-minute baseline has already passed; choose a later screening after approval.","https://www.cinema-city.pl/","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"1060","Cinema City Sadyba","Odyseja","2026-09-09 14:30:00","2026-09-09 14:15:00","https://tickets.cinema-city.pl/api/order/1669600?lang=pl","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked.","https://www.cinema-city.pl/","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"1070","Cinema City Galeria Mokotów","Minionki i straszydła","2026-09-09 12:10:00","2026-09-09 11:55:00","https://tickets.cinema-city.pl/api/order/1668133?lang=pl","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked. The 15-minute baseline has already passed; choose a later screening after approval.","https://www.cinema-city.pl/","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"1068","Cinema City Promenada","Zaproszenie","2026-09-09 12:20:00","2026-09-09 12:05:00","https://tickets.cinema-city.pl/api/order/1668438?lang=pl","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked. The 15-minute baseline has already passed; choose a later screening after approval.","https://www.cinema-city.pl/","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"1096","Cinema City Galeria Północna (Białołęka)","Psi patrol i dinozaury","2026-09-09 12:10:00","2026-09-09 11:55:00","https://tickets.cinema-city.pl/api/order/1675384?lang=pl","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked. The 15-minute baseline has already passed; choose a later screening after approval.","https://www.cinema-city.pl/","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"1069","Cinema City Janki","Koniec ulicy Dębowej","2026-09-09 12:20:00","2026-09-09 12:05:00","https://tickets.cinema-city.pl/api/order/1670976?lang=pl","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked. The 15-minute baseline has already passed; choose a later screening after approval.","https://www.cinema-city.pl/","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"0040","Multikino Młociny","Tony","2026-09-09 12:10:00","2026-09-09 11:55:00","https://www.multikino.pl/rezerwacja-biletow/podsumowanie/0040/HO00002784/108893","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked. The 15-minute baseline has already passed; choose a later screening after approval.","https://www.multikino.pl/repertuar/warszawa-mlociny","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"0013","Multikino Złote Tarasy","Spider-Man: Całkiem nowy dzień","2026-09-09 12:20:00","2026-09-09 12:05:00","https://www.multikino.pl/rezerwacja-biletow/podsumowanie/0013/HO00002696/83505","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked. The 15-minute baseline has already passed; choose a later screening after approval.","https://www.multikino.pl/repertuar/warszawa-zlote-tarasy","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"0052","Multikino Reduta","Minionki i straszydła","2026-09-09 12:20:00","2026-09-09 12:05:00","https://www.multikino.pl/rezerwacja-biletow/podsumowanie/0052/HO00002624/76225","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked. The 15-minute baseline has already passed; choose a later screening after approval.","https://www.multikino.pl/repertuar/warszawa-g-city-reduta","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"0024","Multikino Targówek","Tony","2026-09-09 12:15:00","2026-09-09 12:00:00","https://www.multikino.pl/rezerwacja-biletow/podsumowanie/0024/HO00002784/116311","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked. The 15-minute baseline has already passed; choose a later screening after approval.","https://www.multikino.pl/repertuar/warszawa-g-city-targowek","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"0025","Multikino Wola Park","Minionki i straszydła","2026-09-09 12:20:00","2026-09-09 12:05:00","https://www.multikino.pl/rezerwacja-biletow/podsumowanie/0025/HO00002624/57235","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked. The 15-minute baseline has already passed; choose a later screening after approval.","https://www.multikino.pl/repertuar/warszawa-wola-park","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"57","Helios Blue City","Zróbmy sobie przerwę","2026-09-09 12:50:00","2026-09-09 12:35:00","https://bilety.helios.pl/screen/73195022-c4b0-4ea7-bcaf-3e7194ed3060?cinemaId=4ca060df-c4f2-4157-8905-bf46527aae58&backUrl=https%3A%2F%2Fhelios.pl%2Fwarszawa%2Fkino-helios-blue-city%2Frepertuar&item_id=0807e007-5f61-48dd-9611-19a6aa82b3c1&item_source_id=4656","booking link from saved data","pending","no","Awaiting your review; this specific link has not been rechecked.","https://www.helios.pl/57,Warszawa/Repertuar/","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
"iluzjon","Kino Iluzjon","Młodsza siostra","2026-09-09 16:00:00","2026-09-09 15:45:00","https://www.iluzjon.fn.org.pl/filmy/info/7893/mlodsza-siostra.html?rep=405","film/detail page","pending","no","Relative link resolved against cinema website; may need another click to reach booking.","https://www.iluzjon.fn.org.pl/repertuar.html","2026-09-09 12:09:31","2026-09-09T12:09:09.859705"
